DISTRICT_NAME,TERRITORY_TYPE,VALUATION_SEPARATION,r2_score,log_dist_subway,log_dist_bus,TAXCLASS,num_subway_routes
MANHATTAN,BOR,0,0.8857671092057012,0.1468094427335896,0.002272700081077906,0.15029961806906425,0.4689542689017757
MANHATTAN,BOR,1,0.20736406468218282,0.3491394185466908,0.006755081150017886,0.3336879888554403,0.0359849571062337
MANHATTAN,BOR,2,0.48769745123235764,0.26610424033722385,0.004619595292290913,0.2701314709560885,0.17430270241615625
MANHATTAN,BOR,3,0.345312879538058,0.3342846036547486,0.00376262325394594,0.3479221605600787,0.05850794123618157
BROOKLYN,BOR,0,0.8029294449163826,0.1696320478416339,0.0031101977881126974,0.2187767130551191,0.45782518869858285
BROOKLYN,BOR,1,0.2510130847885438,0.43108907328832263,0.00011801031779743505,0.45412186751970207,0.014368490988091053
BROOKLYN,BOR,2,0.3993101460104599,0.29459694395518693,0.007078237733132862,0.31075945988978027,0.032771298103416543
BROOKLYN,BOR,3,0.35237888728519806,0.26302737020585754,0.006468516598720033,0.2804808160030037,0.26913812235283
BRONX,BOR,0,0.9016152487994615,0.12991391100199312,0.000502845576425149,0.12856849727990394,0.13590989458274955
BRONX,BOR,1,0.15008827253693402,0.39778097933141465,0.007283465786222898,0.4293089496426778,0.018424526284589432
BRONX,BOR,2,0.09149322054055642,0.40657307803399434,0.003324683380118732,0.41331461748984843,0.015333662972947889
BRONX,BOR,3,0.5465376660825949,0.32805457104425234,0.001605778005349993,0.3367950130475818,0.17906330631447548
STATEN IS,BOR,0,0.2745225301928599,0.4062402072501447,0.2810593553730369,0.25819865533619946,0.0
STATEN IS,BOR,1,0.10477106304814854,0.4962966648854113,0.47038692658786463,0.017563042942886277,0.0
STATEN IS,BOR,2,0.008864247736627195,0.5023122228402441,0.48436678349229556,0.009016312336844301,0.0
STATEN IS,BOR,3,0.3760966150017879,0.3514981848556556,0.41532388553102245,0.22132618160523143,0.0
