DISTRICT_NAME,TERRITORY_TYPE,VALUATION_SEPARATION,r2_score,log_dist_subway,log_dist_bus,TAXCLASS,num_subway_routes
Upper West Side,NTA,0,0.8252042429015733,0.31142072397611636,0.12469794547435223,0.45626976701773686,0.10761156353179441
Upper West Side,NTA,1,0.09684147179470448,0.4772073461940158,0.47675210827111375,0.0012227195254993029,0.04481782600937109
Upper West Side,NTA,2,0.049691881635919644,0.46108160887178107,0.2730106140467169,0.006601585965599773,0.2593061911159022
Upper West Side,NTA,3,0.333160026735288,0.3823199381960634,0.5189137492361157,0.00964186623357575,0.08912444633424514
Upper West Side,NTA,4,0.17565007646745956,0.3691741706211853,0.5295375236978861,0.011197962143063053,0.09009034353786564
Upper West Side,NTA,5,0.17666524057388888,0.4711573420500915,0.4508479021201428,0.018725256605960014,0.059269499223805706
Upper West Side,NTA,6,0.2528182226445458,0.40756688499673216,0.45110958253485617,0.0657162067006828,0.07560732576772893
Upper West Side,NTA,7,0.4820417993068684,0.3953726887766744,0.44330999088496365,0.06465135867326394,0.09666596166509796
Upper West Side,NTA,8,-0.01766750435560116,0.4728407783472973,0.36088625301137645,0.10576582192948898,0.06050714671183737
Upper West Side,NTA,9,0.260726461289163,0.37147542508641923,0.3775039459209743,0.1842899134163135,0.066730715576293
East New York,NTA,0,0.02102694445867692,0.47622256888859443,0.4366518854227071,0.06922163524608708,0.0179039104426112
East New York,NTA,1,0.356659915985285,0.3520723098308117,0.3001219442300405,0.27185847267332597,0.07594727326582183
East New York,NTA,2,0.2639788862891512,0.4162719308276294,0.40682791674625507,0.11440867726166819,0.06249147516444751
East New York,NTA,3,0.1583840154736016,0.47095827485891517,0.4574509102692398,0.01844931920438006,0.053141495667465045
East New York,NTA,4,0.07812613208702468,0.5184645548656055,0.42831413479407326,0.009376569091101612,0.043844741249219644
East New York,NTA,5,0.2035472693668312,0.4825199252082606,0.4658639093351861,0.00703413826513324,0.044582027191419946
East New York,NTA,6,0.21792215111036717,0.4698269612041721,0.4712332960180968,0.016594882446063983,0.04234486033166703
East New York,NTA,7,-0.09843184232627245,0.5006260200766429,0.46071031094214276,0.01057601531184874,0.028087653669365626
East New York,NTA,8,0.032702531048207195,0.539086980519205,0.4139819364531828,0.00797752862303342,0.03895355440457865
East New York,NTA,9,0.36924609563961064,0.2777985109818176,0.2398828462620768,0.45944461207044035,0.022874030685665285
SoHo-TriBeCa-Civic Center-Little Italy,NTA,0,0.8711107308859368,0.09214372141756394,0.5845414543577802,0.28196237765588883,0.04135244656876714
SoHo-TriBeCa-Civic Center-Little Italy,NTA,1,0.3560985202174054,0.49034431675395607,0.2789464515416342,0.10406679175447646,0.12664243994993327
SoHo-TriBeCa-Civic Center-Little Italy,NTA,2,0.20173625260436956,0.40637887846896115,0.3708008559113343,0.08260257756185586,0.14021768805784865
SoHo-TriBeCa-Civic Center-Little Italy,NTA,3,0.12924323856676456,0.3111925528068838,0.5488937171582005,0.03721206117860472,0.1027016688563111
SoHo-TriBeCa-Civic Center-Little Italy,NTA,4,0.07099802343633543,0.36539102537252616,0.4899265718997692,0.04219117175199369,0.10249123097571096
SoHo-TriBeCa-Civic Center-Little Italy,NTA,5,0.12041022354276776,0.45800435117692306,0.3773470261637487,0.06370863046258389,0.10093999219674427
SoHo-TriBeCa-Civic Center-Little Italy,NTA,6,0.09142107263090826,0.4159513214458055,0.3954389014757197,0.06344473020188762,0.1251650468765873
SoHo-TriBeCa-Civic Center-Little Italy,NTA,7,-0.17270856995809813,0.41819658500637774,0.4379704031166702,0.05523118528612639,0.08860182659082579
SoHo-TriBeCa-Civic Center-Little Italy,NTA,8,0.018054246141990693,0.43226859731912765,0.4099840302389575,0.07717939797176918,0.08056797447014553
SoHo-TriBeCa-Civic Center-Little Italy,NTA,9,0.016836188643604144,0.4132632471494481,0.363056147101109,0.0913760182516541,0.13230458749778887
Turtle Bay-East Midtown,NTA,0,0.9850097361074166,0.3368949471395475,0.20535719070351946,0.4255014330130576,0.03224642914387561
Turtle Bay-East Midtown,NTA,1,0.3789909675053039,0.44263540106509425,0.2638808155628495,0.01648520586755016,0.2769985775045061
Turtle Bay-East Midtown,NTA,2,0.1373088424005674,0.4011929220260266,0.4734632375069767,0.01085732002317402,0.1144865204438227
Turtle Bay-East Midtown,NTA,3,0.3271997456215642,0.39846630755204593,0.5033773484580132,0.010820129773298437,0.08733621421664245
Turtle Bay-East Midtown,NTA,4,0.410332533577751,0.44674892772384117,0.4064666900935672,0.041102401190574636,0.10568198099201709
Turtle Bay-East Midtown,NTA,5,0.2658515814238206,0.3328235937251266,0.3976278094855142,0.00828258836261712,0.2612660084267422
Turtle Bay-East Midtown,NTA,6,0.24303674529255337,0.36052265402479766,0.5697649267317765,0.016487722447676587,0.0532246967957493
Turtle Bay-East Midtown,NTA,7,0.0661877963466666,0.400451542851233,0.5117830450372264,0.04444076738051137,0.04332464473102925
Turtle Bay-East Midtown,NTA,8,0.3358267149541896,0.3281335266553609,0.34426070984069057,0.2847620517632056,0.04284371174074296
Turtle Bay-East Midtown,NTA,9,0.26285981013233084,0.4635074485037937,0.3515900778897289,0.12119524711682197,0.06370722648965539
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,0,0.8558221444984683,0.04456470811751405,0.27432322356454164,0.6432322803329902,0.03787978798495415
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,1,0.2996949653285135,0.36963974876235406,0.5888487497095827,0.012768478097775982,0.028743023430287264
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,2,0.2256660764192766,0.3705477897837233,0.508077876771322,0.024201755907964393,0.09717257753699023
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,3,0.18677816734728925,0.48287004692467567,0.4283703800042874,0.02299717548901373,0.06576239758202321
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,4,0.3714475157891769,0.38159649074447205,0.49262918255130667,0.011991098313610364,0.113783228390611
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,5,0.2666248921795762,0.47038703092681766,0.38660698609693134,0.031106784377893437,0.11189919859835755
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,6,0.3021064730911438,0.41699273600032294,0.4030747372661736,0.0952241963850752,0.08470833034842823
