DISTRICT_NAME,TERRITORY_TYPE,VALUATION_SEPARATION,r2_score,log_dist_subway,log_dist_bus,TAXCLASS,num_subway_routes
MANHATTAN,BOR,0,0.8953821750808493,0.062021755823368205,0.0037243692283180545,0.0011003981592531298,0.0037623315160466545
MANHATTAN,BOR,1,0.3536913240765722,0.016685931916078794,0.013046592462678199,0.006795348807312743,0.004485320642683134
MANHATTAN,BOR,2,0.24435387900776095,0.007896762425001095,0.009587213977764627,0.008839092894249268,0.002365614491271166
MANHATTAN,BOR,3,0.18174452295572674,0.012237951047392276,0.012009966756682186,0.007064118684148899,0.009359085426634878
MANHATTAN,BOR,4,0.19188387740410506,0.008376182024396632,0.010829688392745365,0.006080111434880759,0.005947807984857448
MANHATTAN,BOR,5,0.17015397543991206,0.006513260304850729,0.008980594641967399,0.006348249040909062,0.0071970358403106996
MANHATTAN,BOR,6,0.1508921414584291,0.00917023467714049,0.013752517554159946,0.013924642423163287,0.005851475553508591
MANHATTAN,BOR,7,0.08573383515743682,0.009431644724836158,0.009607967608115792,0.006440865004841627,0.004845909604197614
MANHATTAN,BOR,8,0.17839910931426162,0.009217760750936343,0.008240535087192306,0.005458122811119434,0.00910478123719826
MANHATTAN,BOR,9,0.2634814166751932,0.003013380260325644,0.003048250541331627,0.003626630787638348,0.004292070268040463
BROOKLYN,BOR,0,0.7700168648274311,0.02954857220724502,0.02598272487227199,0.025657964168129408,0.02392092478700929
BROOKLYN,BOR,1,0.36272734057511824,0.007415326811549296,0.01315837690032835,0.00951562157842467,0.008047369883553724
BROOKLYN,BOR,2,0.25106932158265094,0.0029249271396251156,0.015365809089694859,0.0024803652487290022,0.009501982090203222
BROOKLYN,BOR,3,0.22342997780458074,0.0019460558943789007,0.010270954305064034,0.0034039828891531333,0.009242734745272225
BROOKLYN,BOR,4,0.13884871322701053,0.003270320858112235,0.0077561675138416095,0.0030790313435254237,0.016458310448713997
BROOKLYN,BOR,5,0.10629269801562591,0.004351327807630238,0.007698641219196688,0.006819259521698796,0.006656828533516905
BROOKLYN,BOR,6,0.15758722330721098,0.009123976079880929,0.006129461752630456,0.01267686814656521,0.019358360189570985
BROOKLYN,BOR,7,0.12987136729271975,0.013849294856399219,0.002162619842022829,0.018799814194820626,0.00583031073354757
BROOKLYN,BOR,8,0.07368859278589035,0.00954048836966919,0.0020373095592540356,0.01303739656681134,0.0015967402500248861
BROOKLYN,BOR,9,0.37683992064253036,0.0037607592488548692,0.008281286256498417,0.007073743030011083,0.002642063675486699
BRONX,BOR,0,0.767042053271852,0.007893648990743959,0.014652964429103344,0.0024821383765835114,0.0007794430259386185
BRONX,BOR,1,0.7659046239704548,0.008240842701145914,0.004681153029796327,0.008497121309291379,0.006496774267847132
BRONX,BOR,2,0.1147232404903672,0.011021038286704676,0.010252288316831951,0.00981355717545926,0.006746499856692975
BRONX,BOR,3,0.017117704812281587,0.011143283623299263,0.0049799472198028705,0.00767030361589188,0.005943976330258924
BRONX,BOR,4,0.11077009430469875,0.005081935547448136,0.0032600200940799506,0.007623195576207909,0.007503000073897363
BRONX,BOR,5,-0.003907843201310657,0.00641987674345261,0.007543067791200023,0.006286368827383226,0.0042722341590794456
BRONX,BOR,6,0.057784187293054234,0.00772492071104438,0.006786247564160517,0.00744658921472236,0.007643908319986593
BRONX,BOR,7,0.08344814577524218,0.009752137250047371,0.008909180187825083,0.00738606395174748,0.007372887362406872
BRONX,BOR,8,0.34081283987919175,0.006251161108880985,0.004959189805657037,0.008011724836327474,0.010090844629388503
BRONX,BOR,9,0.5328610418112876,0.0048270112000369575,0.008219476061060244,0.011491089306995042,0.0052294885070880235
STATEN IS,BOR,0,0.28627906217816523,8.477959691894716e-05,8.91440583861688e-05,0.33864382141895233,0.3251607842068982
STATEN IS,BOR,1,-0.09820689515914971,0.4826558266936812,0.49841630688327127,0.012422905865669177,0.0
STATEN IS,BOR,2,0.11682244115345153,0.5382684511951357,0.4269408696372761,0.015064553964699967,0.0
STATEN IS,BOR,3,0.12033682499706122,0.44253118324648205,0.020220956786359868,0.5145495716565941,0.00754393689505482
STATEN IS,BOR,4,0.10765506897985766,0.0002051764114584788,0.006383990087167327,0.4671540423539426,0.5178681420078798
STATEN IS,BOR,5,0.02202707413814331,0.4453752507158146,0.001904581640718773,0.5439313861258779,0.006389409989566561
STATEN IS,BOR,6,0.03580724247471012,0.0003539527128154788,0.001676218380082834,0.5035029551826019,0.48295273320680965
STATEN IS,BOR,7,-0.00978206179219443,0.4592605870754137,0.007065698914574713,0.5153672981656625,0.015556049066844923
STATEN IS,BOR,8,-0.19968997261506516,0.48552231502160176,0.0011189877056803192,0.5007635527440517,0.006951063291151607
STATEN IS,BOR,9,0.32163664223185506,0.0014153911075978944,0.019752451333407108,0.00020802365832080824,0.38676848892967075
