DISTRICT_NAME,TERRITORY_TYPE,VALUATION_SEPARATION,r2_score,log_dist_subway,log_dist_bus,TAXCLASS,num_subway_routes
Upper West Side,NTA,0,0.516989090543422,0.34463288352221316,0.16575466672328948,0.4244596761337158,0.06515277362078153
Upper West Side,NTA,1,0.4173195368078264,0.2698534799293353,0.6469256393207362,0.018367085685973217,0.0648537950639553
Upper West Side,NTA,2,0.4885270865128043,0.48001815312034635,0.32130300762582853,0.12815583880196876,0.07052300045185628
Upper West Side,NTA,3,0.25385561371382115,0.4358040161919935,0.42160988424194396,0.07884693167507885,0.06373916789098381
East New York,NTA,0,0.580573346055612,0.11988553631461106,0.1168294583374286,0.7502045360520783,0.013080469295882136
East New York,NTA,1,0.23798172824442487,0.48666700183322165,0.4684574398935585,0.009610850682382717,0.03526470759083705
East New York,NTA,2,0.041414355055711005,0.4814151433019143,0.46578637911522597,0.010311499194754832,0.04248697838810491
East New York,NTA,3,0.6120344398497728,0.2552784342109491,0.2118473176705441,0.5152142148576043,0.01766003326090244
SoHo-TriBeCa-Civic Center-Little Italy,NTA,0,0.8727097603526413,0.20147842418528633,0.542077732943683,0.23683975138132413,0.019604091489706568
SoHo-TriBeCa-Civic Center-Little Italy,NTA,1,0.2811908767728807,0.35468906096605546,0.4909635222899014,0.05507194219759994,0.0992754745464431
SoHo-TriBeCa-Civic Center-Little Italy,NTA,2,0.23117106123267217,0.3856370662591415,0.3767258473035513,0.1498305154756007,0.08780657096170638
SoHo-TriBeCa-Civic Center-Little Italy,NTA,3,0.17418852946159924,0.44363285492659016,0.40235301248487715,0.04890949012467694,0.10510464246385587
Turtle Bay-East Midtown,NTA,0,0.9670416837280787,0.1521453964076112,0.39421978856431095,0.41944524738698985,0.034189567641087854
Turtle Bay-East Midtown,NTA,1,0.17970886972341182,0.5021459608037773,0.4096802726860157,0.02047349091289782,0.06770027559730919
Turtle Bay-East Midtown,NTA,2,0.3722569630204945,0.5452039761883051,0.29913529599408223,0.03212870090381532,0.12353202691379743
Turtle Bay-East Midtown,NTA,3,0.5364353965933266,0.3898397117572442,0.32250343560633205,0.22888656031337165,0.0587702923230521
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,0,0.8475567006493642,0.09279314509358313,0.2927649996417845,0.5789009176873198,0.03554093757731249
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,1,0.2192064504952399,0.5346733732714897,0.37684770357976516,0.029020195394407033,0.05945872775433817
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,2,0.3163221893015483,0.3548406292105391,0.3629702139429514,0.18567225886879074,0.09651689797771877
Hudson Yards-Chelsea-Flatiron-Union Square,NTA,3,0.07620302199243978,0.4233782298354636,0.41596602049824105,0.059936123840284204,0.10071962582601103
Midtown-Midtown South,NTA,0,0.7954162803743444,0.2610841010405758,0.45986742261534774,0.21259585178976173,0.06645262455431487
Midtown-Midtown South,NTA,1,0.20227123502103483,0.328939578548481,0.41267739412525595,0.08161432038371942,0.17676870694254362
Midtown-Midtown South,NTA,2,0.28817934219334773,0.31035902522020803,0.3228181187097359,0.29611844497921064,0.07070441109084548
Midtown-Midtown South,NTA,3,-0.014488388632053928,0.42958539292098413,0.4260967515641964,0.024567260107433028,0.11975059540738646
West Village,NTA,0,0.6047249275119175,0.5316680080715364,0.30046033201172134,0.05570785097806587,0.1121638089386764
West Village,NTA,1,0.4220972848892742,0.3674245361224117,0.41356150563361543,0.10630894485843582,0.1127050133855371
West Village,NTA,2,0.32539093367032956,0.4546380041167356,0.35244063603474834,0.10431129541261795,0.08861006443589808
West Village,NTA,3,0.0739261691679377,0.4072567213571939,0.40723594692230175,0.08375376131925258,0.10175357040125178
Parkchester,NTA,0,0.09989469940407814,0.7071567284580792,0.29284327154192086,0.0,0.0
Parkchester,NTA,1,0.06613304817244414,0.49910547035616903,0.49682798839206194,0.004066541251769043,0.0
Parkchester,NTA,2,0.566760649475773,0.6937679350107583,0.3062320649892416,0.0,0.0
Parkchester,NTA,3,0.7148242607871528,0.09633164187875462,0.09743417747281001,0.8062341806484353,0.0
Central Harlem South,NTA,0,0.8584829267715404,0.2822440019181216,0.3988521783051196,0.31010839303760135,0.008795426739157447
Central Harlem South,NTA,1,0.346231329332776,0.5428620301347561,0.3663049146962269,0.05202698552361722,0.03880606964539978
Central Harlem South,NTA,2,0.6341466068993155,0.475687216932336,0.386568294945976,0.10271001199943554,0.03503447612225249
Central Harlem South,NTA,3,0.3617166847401677,0.42980714934614456,0.33680362779255224,0.20768701263518907,0.02570221022611419
Battery Park City-Lower Manhattan,NTA,0,0.8402670287794743,0.057927851835332674,0.05087630109125113,0.6737612626331703,0.21743458444024588
Battery Park City-Lower Manhattan,NTA,1,0.20825027429024356,0.33351281899584134,0.5535309536146531,0.007879065845401488,0.1050771615441042
Battery Park City-Lower Manhattan,NTA,2,0.13568317516481398,0.4528917317846721,0.414389652863095,0.06843560709947617,0.06428300825275657
Battery Park City-Lower Manhattan,NTA,3,0.5873528646387163,0.24795262702928217,0.26404569535614436,0.3960357368969019,0.0919659407176715
East Flatbush-Farragut,NTA,0,0.5753430569788167,0.2928413964922219,0.30830306819107417,0.3955749463854129,0.003280588931291182
East Flatbush-Farragut,NTA,1,0.35688083981046437,0.4901663073714704,0.5029379346469224,0.003401925663117704,0.003493832318489571
East Flatbush-Farragut,NTA,2,0.1285576057251826,0.5147651209028835,0.4693243288124524,0.00861128290620523,0.007299267378458909
East Flatbush-Farragut,NTA,3,0.420896397364403,0.2806446415415251,0.29165212817455144,0.42250567667433875,0.005197553609584718
Murray Hill-Kips Bay,NTA,0,0.8063594970108218,0.19916852000518642,0.07543237183834291,0.7215213073436263,0.003877800812844387
Murray Hill-Kips Bay,NTA,1,0.1526497432549646,0.678732190791634,0.2359476878280254,0.012130537797333531,0.07318958358300696
Murray Hill-Kips Bay,NTA,2,0.10982399986195202,0.5952268291812753,0.308200031335918,0.05813161247534258,0.03844152700746401
Murray Hill-Kips Bay,NTA,3,0.5344991131192298,0.45085995396282846,0.4189564565266943,0.08404063576911018,0.046142953741366885
Central Harlem North-Polo Grounds,NTA,0,0.8218092846214656,0.3597584622453246,0.43765519308635475,0.12367219139562426,0.07891415327269649
Central Harlem North-Polo Grounds,NTA,1,0.44193078875847236,0.4615034916772402,0.3398726197371227,0.11618269815839069,0.08244119042724657
Central Harlem North-Polo Grounds,NTA,2,0.3830899875588325,0.3378165219425863,0.3664911174936227,0.23409474178709178,0.06159761877669927
Central Harlem North-Polo Grounds,NTA,3,0.6660313533646094,0.3749106391677659,0.32422594067009186,0.24697426710629838,0.05388915305584382
Borough Park,NTA,0,0.3115192844990917,0.37589125975611865,0.4198953396080358,0.19289086836117864,0.011322532274666883
Borough Park,NTA,1,0.2519995175106098,0.43473411682375057,0.42418120204102666,0.1296324643519082,0.011452216783314519
Borough Park,NTA,2,0.040307546930294924,0.4798050006599407,0.4876458986799746,0.017539415385792553,0.015009685274292113
Borough Park,NTA,3,0.35164937969740706,0.3882943735708237,0.3258747433666936,0.2779828369896451,0.007848046072837789
Upper East Side-Carnegie Hill,NTA,0,0.9453874578879417,0.04763260492973106,0.05002716894814562,0.8866870542268827,0.015653171895240726
Upper East Side-Carnegie Hill,NTA,1,0.1530197806389454,0.44951120419321383,0.472775549404826,0.0445271058241684,0.033186140577791845
Upper East Side-Carnegie Hill,NTA,2,0.457610477933149,0.34704485081380837,0.36903848454901267,0.22860932394319528,0.05530734069398379
Upper East Side-Carnegie Hill,NTA,3,0.16969483709024846,0.4341345871986742,0.4370319624680067,0.08338057843518605,0.045452871898133164
Yorkville,NTA,0,0.952194344604788,0.09344323517460479,0.057565005060690774,0.8464927632725057,0.002498996492198754
Yorkville,NTA,1,0.11661601032784241,0.5877791983425449,0.385382653448748,0.002192849105327382,0.024645299103379852
Yorkville,NTA,2,0.3102049056651369,0.5943357012050604,0.3207096134946169,0.031700830729405306,0.05325385457091743
Yorkville,NTA,3,0.5379622075228996,0.44829064863151386,0.4638574181413328,0.057799436663893665,0.030052496563259735
Soundview-Castle Hill-Clason Point-Harding Park,NTA,0,0.7872589167570696,0.08870430366450598,0.10880063386661655,0.8024950624688776,0.0
Soundview-Castle Hill-Clason Point-Harding Park,NTA,1,-0.08734076807429081,0.5088087633350259,0.4851192085707635,0.006072028094210725,0.0
Soundview-Castle Hill-Clason Point-Harding Park,NTA,2,0.0004258948003448282,0.5639186955212959,0.4341756220543317,0.0019056824243725064,0.0
Soundview-Castle Hill-Clason Point-Harding Park,NTA,3,0.6550579709475406,0.1544878720871341,0.14877245976658887,0.6967396681462771,0.0
Cypress Hills-City Line,NTA,0,0.27996818055627903,0.33113219132642197,0.28913622490908525,0.36179995806420756,0.017931625700285177
Cypress Hills-City Line,NTA,1,-0.14080736599237653,0.47050603998851803,0.4890722285851361,0.007952558127401322,0.03246917329894452
Cypress Hills-City Line,NTA,2,0.17356401114440834,0.4881887818200704,0.47568268161020294,0.006391776465641608,0.029736760104085092
Cypress Hills-City Line,NTA,3,-0.05166957665350824,0.3074528475649419,0.2505572471046282,0.427476883559343,0.014513021771086819
Bushwick South,NTA,0,0.7480114268454476,0.23784334605192803,0.33149446289964896,0.39731389986715815,0.03334829118126475
Bushwick South,NTA,1,0.041588283334620835,0.4619542334536689,0.4577927634302181,0.02881820466057272,0.051434798455540436
Bushwick South,NTA,2,-0.03567279950731028,0.4745173739909992,0.4555291880609207,0.013354591847334776,0.05659884610074541
Bushwick South,NTA,3,0.29881366664036113,0.3025705036102775,0.2725428065717819,0.3815801935819878,0.04330649623595271
Rugby-Remsen Village,NTA,0,0.7263576179373252,0.06277533205213197,0.4332853886339169,0.5037144945399709,0.00022478477398034505
Rugby-Remsen Village,NTA,1,0.14976039732194535,0.5171864262730418,0.4522743547157149,0.015723627246340972,0.014815591764902257
Rugby-Remsen Village,NTA,2,0.17217608776178328,0.528438536785672,0.46594057767214564,0.004401964204007956,0.0012189213381744314
Rugby-Remsen Village,NTA,3,0.43294648938380065,0.24145824907086602,0.25291305586131246,0.5035231151265686,0.002105579941252901
Lincoln Square,NTA,0,0.9569507722574608,0.1503504241702946,0.015017336950197541,0.8265119716423522,0.008120267237155528
Lincoln Square,NTA,1,0.062403511268816936,0.4472767866634737,0.42831018203231824,0.039464909084458245,0.08494812221974975
Lincoln Square,NTA,2,0.15970088066962929,0.32843651157816944,0.5324511060021658,0.06664707126566102,0.07246531115400374
Lincoln Square,NTA,3,0.662978173975552,0.367311120478545,0.3483608172206605,0.21859254469003886,0.06573551761075566
Lenox Hill-Roosevelt Island,NTA,0,0.9427995116932859,0.0347869612553106,0.027573323448262004,0.9242817954201206,0.013357919876306823
Lenox Hill-Roosevelt Island,NTA,1,0.2392468938875434,0.47949903141717504,0.4618593080624012,0.014409286155520699,0.04423237436490297
Lenox Hill-Roosevelt Island,NTA,2,0.1530144402328868,0.6489273296354673,0.3192232046168233,0.02266117755372253,0.009188288193986857
Lenox Hill-Roosevelt Island,NTA,3,0.48358835001892664,0.3968425065102137,0.41575434074203865,0.16165004901188446,0.025753103735863214
Morrisania-Melrose,NTA,0,0.7648812753019316,0.36022493518817555,0.4129734395854862,0.22261334157674528,0.004188283649593019
Morrisania-Melrose,NTA,1,0.38200601329512984,0.4157484498837052,0.48696949879091433,0.0939153769931308,0.003366674332249727
Morrisania-Melrose,NTA,2,0.04521035862298417,0.5119975269190693,0.42860963298769467,0.048951545942250756,0.010441294150985408
Morrisania-Melrose,NTA,3,0.6862240322859514,0.36822342271331243,0.3578700187547747,0.26918403301049476,0.004722525521418078
Charleston-Richmond Valley-Tottenville,NTA,0,0.3038400204047421,0.37511037215418863,0.3784071786515467,0.24648244919426468,0.0
Charleston-Richmond Valley-Tottenville,NTA,1,-0.1538994566481462,0.49279666120916504,0.498244762215802,0.008958576575033031,0.0
Charleston-Richmond Valley-Tottenville,NTA,2,-0.07125315302362512,0.5378928400698045,0.44923181095872156,0.012875348971474047,0.0
Charleston-Richmond Valley-Tottenville,NTA,3,0.18893536090095164,0.3399907417843048,0.40933581068571284,0.25067344752998233,0.0
Mott Haven-Port Morris,NTA,0,0.7557752496268462,0.28318488860335206,0.3191905644393865,0.37521588516482296,0.02240866179243857
Mott Haven-Port Morris,NTA,1,0.19049668813556664,0.5006007209392347,0.42156055413964894,0.03945361817363102,0.03838510674748528
Mott Haven-Port Morris,NTA,2,0.6274371002140773,0.2887720521927325,0.288568255938281,0.3979620844300524,0.024697607438934222
Mott Haven-Port Morris,NTA,3,0.6139852849361218,0.4832541054627231,0.4308537312532585,0.04000318096438398,0.04588898231963446
Bushwick North,NTA,0,0.9067373959060494,0.3389974140679658,0.26873574917989745,0.3438984862263338,0.04836835052580312
Bushwick North,NTA,1,0.07782431093732123,0.4294122751844918,0.4414118332492298,0.07420200569811951,0.05497388586815889
Bushwick North,NTA,2,0.14354968957334058,0.44524845007252273,0.45980166945765616,0.021986664556197095,0.072963215913624
Bushwick North,NTA,3,0.35331977255877034,0.24083602279790062,0.26145715515941986,0.47039272921681236,0.027314092825867328
Melrose South-Mott Haven North,NTA,0,0.812831570343486,0.680640926245566,0.22459771012944565,0.061381709714420106,0.03337965391056812
Melrose South-Mott Haven North,NTA,1,0.3711915309194235,0.4398469262122415,0.35917919845491075,0.14033061120794646,0.06064326412490132
Melrose South-Mott Haven North,NTA,2,0.09915785142448008,0.4658655101624557,0.4883298395814879,0.036447673268556975,0.009356976987499358
Melrose South-Mott Haven North,NTA,3,0.6343747253828312,0.36972646876829257,0.38828854931237017,0.19770307580721244,0.04428190611212487
Flatbush,NTA,0,0.8942829256811482,0.15608491530035648,0.3314940790291383,0.4966629216931488,0.015758083977356497
Flatbush,NTA,1,0.34723495795420944,0.4585771786229665,0.4443279794946894,0.057557222868079884,0.03953761901426432
Flatbush,NTA,2,0.22212740756659066,0.5403231896479023,0.3878522970133117,0.04605281488370232,0.025771698455083782
Flatbush,NTA,3,0.36880520592441923,0.32946300975925297,0.2915387645876345,0.3684030266737519,0.010595198979360537
Hamilton Heights,NTA,0,0.6378971021633478,0.5290969475972013,0.38904032062197214,0.053744826983433844,0.028117904797392772
Hamilton Heights,NTA,1,0.5084911233376643,0.4749367723867277,0.377090557362521,0.12098994110223574,0.026982729148515492
