"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Shelter_ID","Corner","On_Street","Cross_Stre","Longitude","Latitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac"
"POINT (-73.967383 40.605417)","3","Brooklyn","315","44","45","22","9","BR02021","SW","KINGS HWY","OCEAN PKWY","-73.967383","40.605417","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.937532 40.600981)","3","Brooklyn","315","46","41","22","8","BR02022","NW","AV U","COYLE ST","-73.937532","40.600981","Madison","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.933006 40.600058)","3","Brooklyn","315","46","41","22","8","BR02023","SE","GERRITSEN AV","AV V","-73.933006","40.600058","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.930756 40.670654)","3","Brooklyn","308","36","55","20","9","BR02024","NE","ST JOHNS PL","UTICA AV","-73.930756","40.670654","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.923162 40.670237)","3","Brooklyn","308","41","55","20","9","BR02025","NW","ST JOHNS PL","RALPH AV","-73.923162","40.670237","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.894842 40.669359)","3","Brooklyn","305","42","60","19","8","BR02026","SE","SUTTER AV","Pennsylvania Av","-73.894842","40.669359","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.895303 40.669142)","3","Brooklyn","305","42","60","19","8","BR02027","SW","Pennsylvania Av","SUTTER AV","-73.895303","40.669142","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.894063 40.664333)","3","Brooklyn","305","42","60","19","8","BR02029","SW","Pennsylvania Av","LIVONIA AV","-73.894063","40.664333","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.941684 40.600522)","3","Brooklyn","315","46","41","22","8","BR02031","NE","AV U","NOSTRAND AV","-73.941684","40.600522","Madison","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.955863 40.587719)","3","Brooklyn","315","48","45","23","8","BR02032","SE","AV Z","E 13 ST","-73.955863","40.587719","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.907818 40.619706)","3","Brooklyn","318","46","59","21","8","BR02033","NW","AV U","E 71 ST","-73.907818","40.619706","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.932018 40.663624)","3","Brooklyn","309","41","43","20","9","BR02034","NW","EMPIRE BLVD","UTICA AV","-73.932018","40.663624","Crown Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.869818 40.673154)","3","Brooklyn","305","42","60","19","7","BR02035","NW","SUTTER AV","CRESCENT ST","-73.869818","40.673154","East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.888463 40.670312)","3","Brooklyn","305","42","60","19","8","BR02036","SE","SUTTER AV","HENDRIX ST","-73.888463","40.670312","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.891114 40.662639)","3","Brooklyn","305","42","60","19","8","BR02037","SE","NEW LOTS AV","VERMONT ST","-73.891114","40.662639","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.87426 40.669341)","3","Brooklyn","305","42","60","19","8","BR02038","NW","DUMONT AV","FOUNTAIN AV","-73.87426","40.669341","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.897034 40.678279)","3","Brooklyn","305","37","54","19","7","BR0204","SE","JAMAICA AV","Pennsylvania Av","-73.897034","40.678279","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.893066 40.661594)","3","Brooklyn","305","42","60","19","8","BR02040","SW","Pennsylvania Av","NEW LOTS AV","-73.893066","40.661594","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.881396 40.666855)","3","Brooklyn","305","42","60","19","8","BR02041","SE","NEW LOTS AV","ELTON ST","-73.881396","40.666855","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.889459 40.663368)","3","Brooklyn","305","42","60","19","8","BR02042","SE","NEW LOTS AV","BRADFORD ST","-73.889459","40.663368","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.952576 40.633393)","3","Brooklyn","314","45","42","21","9","BR02043","SE","GLENWOOD RD","BEDFORD AV","-73.952576","40.633393","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.91765 40.624567)","3","Brooklyn","318","46","59","21","8","BR02045","NE","RALPH AV","AV L","-73.91765","40.624567","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.91369 40.635384)","3","Brooklyn","318","46","59","19","8","BR02046","NW","FLATLANDS AV","E 80 ST","-73.91369","40.635384","Canarsie","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.941036 40.58395)","3","Brooklyn","315","48","41","23","8","BR02047","NW","EMMONS AV","E 28 ST","-73.941036","40.58395","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.960012 40.713715)","3","Brooklyn","301","34","50","59","7","BR02048","SW","DRIGGS AV","GRAND ST","-73.960012","40.713715","Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96066 40.690373)","3","Brooklyn","302","35","57","25","7","BR02050","NW","DEKALB AV","CLASSON AV","-73.96066","40.690373","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.978187 40.693521)","3","Brooklyn","302","35","57","25","7","BR02051","NW","MYRTLE AV","ST EDWARDS ST","-73.978187","40.693521","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.933086 40.675242)","3","Brooklyn","308","36","56","20","9","BR02052","NE","BERGEN ST","SCHENECTADY AV","-73.933086","40.675242","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.931144 40.670511)","3","Brooklyn","308","35","43","20","9","BR02054","SW","ST JOHNS PL","UTICA AV","-73.931144","40.670511","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.941361 40.677425)","3","Brooklyn","308","36","56","20","9","BR02055","NE","KINGSTON AV","PACIFIC ST","-73.941361","40.677425","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.978616 40.687912)","3","Brooklyn","302","35","57","26","7","BR02056","SW","FULTON ST","ASHLAND PL","-73.978616","40.687912","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.866056 40.683101)","4","Queens","409","32","38","15","7","BR02059","SE","ATLANTIC AV","ELDERT LANE","-73.866056","40.683101","Ozone Park (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.866093 40.678598)","3","Brooklyn","305","37","54","19","7","BR02060","SW","GRANT AV","LIBERTY AV","-73.866093","40.678598","East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.872171 40.683367)","3","Brooklyn","305","37","54","18","7","BR02061","SW","CRESCENT ST","FULTON ST","-73.872171","40.683367","Cypress Hills","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93586 40.687985)","3","Brooklyn","303","36","56","25","8","BR02064","NE","GATES AV","LEWIS AV","-73.93586","40.687985","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.937416 40.693049)","3","Brooklyn","303","36","56","25","8","BR02066","NW","DEKALB AV","LEWIS AV","-73.937416","40.693049","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9834 40.699894)","3","Brooklyn","302","35","57","25","7","BR02068","NW","SANDS ST","GOLD ST","-73.9834","40.699894","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.963652 40.690028)","3","Brooklyn","302","35","57","25","7","BR02069","NW","DEKALB AV","RYERSON ST","-73.963652","40.690028","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.946403 40.695417)","3","Brooklyn","303","36","56","25","8","BR02070","SW","TOMPKINS AV","MYRTLE AV","-73.946403","40.695417","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.973259 40.677844)","3","Brooklyn","306","39","52","20","10","BR02071","SW","7 AV","FLATBUSH AV","-73.973259","40.677844","Prospect Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.960355 40.618049)","3","Brooklyn","314","44","48","22","9","BR02073","NW","AV M","E 15 ST","-73.960355","40.618049","Midwood","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97272 40.693311)","3","Brooklyn","302","35","57","25","7","BR02074","NE","MYRTLE AV","CARLTON AV","-73.97272","40.693311","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.935889 40.675394)","3","Brooklyn","308","36","56","20","9","BR02076","NE","BERGEN ST","TROY AV","-73.935889","40.675394","Crown Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.914073 40.656689)","3","Brooklyn","317","41","58","19","9","BR02077","NW","CHURCH AV","E 98 ST","-73.914073","40.656689","East Flatbush-Remsen Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.950978 40.638519)","3","Brooklyn","317","45","42","21","9","BR02078","NE","FOSTER AV","ROGERS AV","-73.950978","40.638519","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.92372 40.65631)","3","Brooklyn","317","41","58","19","9","BR02079","NE","REMSEN AV","LENOX RD","-73.92372","40.65631","East Flatbush-Remsen Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.908771 40.662315)","3","Brooklyn","316","41","55","19","8","BR02080","SE","ROCKAWAY AV","LIVONIA AV","-73.908771","40.662315","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.917328 40.668408)","3","Brooklyn","316","41","55","25","8","BR02081","SW","SARATOGA AV","PITKIN AV","-73.917328","40.668408","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.903579 40.677807)","3","Brooklyn","316","37","55","25","8","BR02082","SW","FULTON ST","VAN SINDEREN AV","-73.903579","40.677807","Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.917047 40.671352)","3","Brooklyn","316","41","55","25","9","BR02083","SW","SARATOGA AV","PARK PL","-73.917047","40.671352","Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.913731 40.675194)","3","Brooklyn","316","41","55","25","8","BR02084","NE","Thomas Boyland St","DEAN ST","-73.913731","40.675194","Ocean Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.907183 40.656156)","3","Brooklyn","316","42","60","19","8","BR02085","SE","ROCKAWAY AV","HEGEMAN AV","-73.907183","40.656156","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.902754 40.665323)","3","Brooklyn","316","42","55","25","8","BR02086","NE","POWELL ST","DUMONT AV","-73.902754","40.665323","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.891841 40.669946)","3","Brooklyn","305","42","60","19","8","BR02087","NW","SUTTER AV","BRADFORD ST","-73.891841","40.669946","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.881381 40.671489)","3","Brooklyn","305","42","54","19","8","BR02088","NW","SUTTER AV","ESSEX ST","-73.881381","40.671489","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.869618 40.673053)","3","Brooklyn","305","42","60","19","8","BR02089","SW","SUTTER AV","CRESCENT ST","-73.869618","40.673053","East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96486 40.624876)","3","Brooklyn","314","44","48","22","9","BR02090","NE","AV J","CONEY ISLAND AV","-73.96486","40.624876","Midwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99297 40.634325)","3","Brooklyn","312","44","48","22","10","BR02092","SW","13 AV","50 ST","-73.99297","40.634325","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.946142 40.731627)","3","Brooklyn","301","33","50","59","7","BR02093","NE","GREENPOINT AV","HUMBOLDT ST","-73.946142","40.731627","Greenpoint","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.954194 40.730445)","3","Brooklyn","301","33","50","59","7","BR02094","NE","MANHATTAN AV","GREENPOINT AV","-73.954194","40.730445","Greenpoint","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.940148 40.715978)","3","Brooklyn","301","34","53","18","7","BR02095","SW","KINGSLAND AV","SKILLMAN AV","-73.940148","40.715978","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.935251 40.679686)","3","Brooklyn","303","36","56","25","8","BR02098","NW","FULTON ST","LEWIS AV","-73.935251","40.679686","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.982605 40.698276)","3","Brooklyn","302","35","57","26","7","BR02102","SE","NASSAU ST","GOLD ST","-73.982605","40.698276","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.979409 40.693423)","3","Brooklyn","302","35","57","26","7","BR02103","SW","MYRTLE AV","ASHLAND PL","-73.979409","40.693423","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.971993 40.649777)","3","Brooklyn","307","40","44","20","10","BR02104","SW","CONEY ISLAND AV","CATON  PL","-73.971993","40.649777","Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.983219 40.699683)","3","Brooklyn","302","33","57","25","7","BR02105","SW","SANDS ST","GOLD ST","-73.983219","40.699683","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.964613 40.703429)","3","Brooklyn","301","34","50","18","7","BR02106","NE","WYTHE AV","ROSS ST","-73.964613","40.703429","South Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.002806 40.684601)","3","Brooklyn","306","39","51","26","10","BR02107","NE","COLUMBIA ST","UNION ST","-74.002806","40.684601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.930369 40.688998)","3","Brooklyn","303","36","56","25","8","BR02108","SW","MALCOLM X BLVD","QUINCY ST","-73.930369","40.688998","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.990414 40.693351)","3","Brooklyn","302","33","52","26","7","BR02111","SE","COURT ST","MONTAGUE ST","-73.990414","40.693351","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99034 40.693501)","3","Brooklyn","302","33","52","26","7","BR02112","SE","COURT ST","MONTAGUE ST","-73.99034","40.693501","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94409 40.713269)","3","Brooklyn","301","34","50","18","7","BR02113","NE","GRAHAM AV","AINSLIE ST","-73.94409","40.713269","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.911676 40.700173)","3","Brooklyn","304","37","53","18","7","BR02115","NE","GATES AV","WYCKOFF AV","-73.911676","40.700173","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.990466 40.588817)","3","Brooklyn","313","47","46","23","8","BR02116","SW","CROPSEY AV","BAY 44 ST","-73.990466","40.588817","Gravesend (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-74.007905 40.674756)","3","Brooklyn","306","38","51","26","10","BR02118","NW","LORRAINE ST","COLUMBIA ST","-74.007905","40.674756","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","AE",,"1"
"POINT (-73.93257 40.683856)","3","Brooklyn","303","36","56","25","8","BR02119","NW","HALSEY ST","STUYVESANT AV","-73.93257","40.683856","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.878351 40.643037)","3","Brooklyn","305","42","60","19","8","BR02120","NW","SEAVIEW AV","Pennsylvania Av","-73.878351","40.643037","Spring Creek-Starrett City","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.89319 40.662154)","3","Brooklyn","305","42","60","19","8","BR02121","NE","Pennsylvania Av","NEW LOTS AV","-73.89319","40.662154","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.895934 40.671623)","3","Brooklyn","305","37","55","19","8","BR02122","SW","Pennsylvania Av","PITKIN AV","-73.895934","40.671623","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.886896 40.683248)","3","Brooklyn","305","37","54","18","7","BR02123","NW","JAMAICA AV","CLEVELAND ST","-73.886896","40.683248","Highland Park-Cypress Hills Cemeteries (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.003183 40.577118)","3","Brooklyn","313","47","46","23","8","BR02124","NE","37 ST","NEPTUNE AV","-74.003183","40.577118","Coney Island-Sea Gate","AE",,"1"
"POINT (-73.955667 40.640684)","3","Brooklyn","314","45","42","21","9","BR02125","NE","FLATBUSH AV","AV D","-73.955667","40.640684","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.966441 40.632357)","3","Brooklyn","314","45","44","21","9","BR02126","SE","FOSTER AV","CONEY ISLAND AV","-73.966441","40.632357","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.939473 40.656373)","3","Brooklyn","309","40","43","20","9","BR02127","NE","ALBANY AV","CLARKSON AV","-73.939473","40.656373","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.939755 40.657552)","3","Brooklyn","309","40","43","20","9","BR02128","SE","ALBANY AV","WINTHROP ST","-73.939755","40.657552","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.968818 40.687548)","3","Brooklyn","302","35","57","25","8","BR02129","SW","VANDERBILT AV","LAFAYETTE AV","-73.968818","40.687548","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.968627 40.686575)","3","Brooklyn","302","35","57","25","8","BR02130","NW","VANDERBILT AV","GREENE AV","-73.968627","40.686575","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.900058 40.677152)","3","Brooklyn","305","37","54","25","7","BR02132","NE","JAMAICA AV","BROADWAY","-73.900058","40.677152","Cypress Hills","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.923794 40.699773)","3","Brooklyn","304","37","53","18","7","BR02136","NW","DEKALB AV","WILSON AV","-73.923794","40.699773","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.919677 40.703963)","3","Brooklyn","304","37","53","18","7","BR02137","SW","DEKALB AV","WYCKOFF AV","-73.919677","40.703963","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.960923 40.598256)","3","Brooklyn","315","48","45","22","8","BR02140","SE","AV U","CONEY ISLAND AV","-73.960923","40.598256","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","4"
